Date,Description,Amount,Type
2026-05-01,Starbucks Coffee,5.50,Debit
2026-05-02,Uber Ride,15.20,Debit
2026-05-03,Amazon Order,45.99,Debit
2026-05-04,Netflix Subscription,14.99,Debit
2026-05-05,Whole Foods Market,89.50,Debit
2026-05-06,Shell Gas Station,40.00,Debit
2026-05-07,Gym Membership,50.00,Debit
2026-05-08,Salary,3000.00,Credit
2026-05-09,Electric Bill,75.20,Debit
2026-05-10,Restaurant Dinner,65.00,Debit
2026-05-11,Pharmacy,22.15,Debit
2026-05-12,Udemy Course,12.99,Debit
2026-05-13,Internet Bill,60.00,Debit
2026-05-14,Uber Eats,25.30,Debit
2026-05-15,Target Shopping,110.45,Debit
